ref_id,user_scenario_combination,user_source,Gender,Age,profession,YrsExperience,ScenarioChoice1_Autonomy,ScenarioChoice2_Autonomy,ScenarioChoice3_Persona,ScenarioChoice4_Persona,bot_example,bot_definition,neil_code,PRActivity,GitHubActivity,BotExperience
UOJCIKUO7ZFG9G8,3-1-4-2,prolific,Female,25-34,DevOps Analyst,1-3 years,Neutral,Neutral,Personable,Personable,,An app that is programmed to carry out automated tasks,Smart,Intermediate,Intermediate,Intermediate
VHFXHFX33KOU7X5,2-3-1-4,prolific,Female,18-24,Student,>5 years,Proactive,Proactive,Personable,Personable,,an autonomous program,Autonomous,Intermediate,Intermediate,Intermediate
38AZCE7ILV89047,2-3-1-4,prolific,Male,25-34,Data Scientist,3-5 years,Reactive,Reactive,Neutral,Personable,,"A bot is a specifically written piece of code where it routinely checks for a specific condition. If that condition is fulfilled, then it will act and perform some function. A bot is a form of automation.",Smart,Intermediate,Experienced,Intermediate
3NNKDGBWGJAOYAL,3-2-4-1,prolific,Female,25-34,Software Developer,<1 year,Reactive,Reactive,Factual,Factual,,"A computer program designed to perform a human-like function, such as chatting.",Chat,Intermediate,Infrequent,Intermediate
0QPKOTN9NHERUWW,2-4-1-3,prolific,Male,25-34,Lead Developer,3-5 years,Proactive,Reactive,Personable,Personable,,A bot is a computer or AI system that fully automates a task,Smart,Expert,Intermediate,Intermediate
XMN5NZT4TB8SMOK,2-4-1-3,prolific,Female,25-34,Document and media preparation,3-5 years,Reactive,Reactive,Personable,Factual,Needs Review,A program that performs an automated task of some type to make work less repetitive for devs.,Smart,Expert,Intermediate,Experienced
377B1RN3M0PA797,1-3-2-4,prolific,Male,18-24,Student,1-3 years,Proactive,Reactive,Personable,Personable,"Dependabot, stale, polls","To me, a bot in the context of Github/Gitlab is some service that provides additional flexibility and functionality within issues and pull requests.",Smart,Expert,Intermediate,Experienced
LUCA8LHBU8UOLSW,1-3-2-4,prolific,Male,25-34,Software Developer,3-5 years,Proactive,Proactive,Personable,Personable,,A bot is an automated process.,Smart,Expert,Intermediate,Intermediate
HYPD1D882CSGJ5W,2-3-1-4,prolific,Female,25-34,research associate,1-3 years,Proactive,Reactive,Personable,Personable,,"Bot I think its short for robot, its any software that automates repetitive tasks and answers some pre-programmed questions. ",Smart,Intermediate,Experienced,Intermediate
NVDNCD4HG98UBPR,2-4-1-3,uvic,Male,25-34,Student,3-5 years,Proactive,Proactive,Factual,Neutral,,"Used to automate a process. For example, run all unit tests after a pull request is created.",Smart,Intermediate,Experienced,Intermediate
N1XPDEDVYC8IHHT,4-2-3-1,uvic,Female,18-24,University Student,1-3 years,Neutral,Neutral,Personable,Factual,GitHub Lab Learning Bot,A software program designed to simulate a person in some way.,Chat,Intermediate,Experienced,Experienced
17MCCLM7D89ZKA9,2-3-1-4,uvic,Male,18-24,student,<1 year,Reactive,Proactive,Factual,Factual,,a bot is a software program that is used to automate some process.,Smart,Intermediate,Intermediate,Intermediate
8P6MSTN79MU80D2,3-1-4-2,uvic,Female,18-24,student,1-3 years,Neutral,Neutral,Personable,Neutral,,"Not sure, an automated tool.",Unsure,Intermediate,Intermediate,Inexperienced
BBZB1AOF8H0JMCR,2-4-1-3,uvic,Male,18-24,Student (Software Engineering),1-3 years,Reactive,Reactive,Personable,Personable,,A program that mimics the actions or processes of a human.,Chat,Expert,Experienced,Intermediate
ZZMAP7P2DCR4F85,1-3-2-4,uvic,Female,18-24,Full time student,1-3 years,Reactive,Reactive,Personable,Personable,,"Iâ€™ve only ever encountered chat bots in discord servers, or twitch and YouTube live chats",Unsure,Novice,Experienced,Inexperienced
KCOPIQRHO12Q3YH,3-1-4-2,uvic,Female,18-24,Full Time Student,1-3 years,Reactive,Reactive,Factual,Personable,,software program that performs tasks,Smart,Intermediate,Intermediate,Intermediate
YFYYJSR0VTCIMFX,4-2-3-1,uvic,Non-binary,18-24,Cook (Student),3-5 years,Reactive,Reactive,Personable,Personable,bors,A bot is a piece of software that preforms repetative tasks in a controlled and defined manner with exact results each time.,Smart,Intermediate,Intermediate,Experienced
A15S72U3AG9AV4P,2-3-1-4,uvic,Prefer Not to say,18-24,None (Student),<1 year,Reactive,Proactive,Personable,Factual,,"A bot is a program that runs without necessarily requiring action from the programmer/user. They are often used to collect data from or provide services to online communities such as Twitter, Twitch, Discord, etc",Smart,Intermediate,Intermediate,Intermediate
W8IPKJF4B7SI0S1,2-4-1-3,uvic,Male,18-24,Software Engineering Student,1-3 years,Neutral,Neutral,Personable,Factual,,A program built to accomplish tasks on a computer that humans would do,Smart,Intermediate,Intermediate,Intermediate
4YPHZV41170X904,3-2-4-1,uvic,Male,18-24,BSeng student,1-3 years,Reactive,Proactive,Personable,Factual,ansibot,Performs automatic functionality to an area of software.,Smart,Intermediate,Intermediate,Experienced
POKHG7NJWVGB5M2,3-1-4-2,uvic,Male,18-24,Software Engineering,<1 year,Proactive,Proactive,Personable,Personable,,An automated process meant to do actions that could a person could do,Smart,Intermediate,Experienced,Intermediate
MYP4S8YBN8BWG4B,3-1-4-2,uvic,Male,18-24,Student,>5 years,Reactive,Reactive,Factual,Factual,,A computer program that is designed to optimize or automate tasks.,Smart,Novice,Experienced,Intermediate
D8MKPN81L7GUEDY,1-4-2-3,uvic,Female,18-24,Software Engineering Student,1-3 years,Reactive,Reactive,Factual,Factual,,Iâ€™m actually not sure. If I have interacted with a bot before I havenâ€™t known explicitly that it was a bot.,Unsure,Expert,Intermediate,Inexperienced
IUQM795SUUAL377,1-3-2-4,uvic,Male,18-24,Software Developer,1-3 years,Reactive,Reactive,Personable,Factual,,Some automated system to perforn some actions or collect data or both.,Smart,Intermediate,Intermediate,Intermediate
UIJFE7OGUATYRZD,3-1-4-2,uvic,Male,18-24,University Student,1-3 years,Reactive,Reactive,Personable,Personable,,A bot is an entity developed in a programming language with the sole task of automating some task,Smart,Intermediate,Experienced,Intermediate
62S9Y38F8OCGTBS,4-2-3-1,uvic,Male,18-24,Student,1-3 years,Neutral,Neutral,Personable,Factual,,A bot is a program that assists in the development process whether that be writing code or other things.,Smart,Intermediate,Intermediate,Intermediate
M84E1R91PUDLI7D,3-1-4-2,uvic,Male,18-24,Student,>5 years,Reactive,Reactive,Factual,Factual,,"A bot is something that can perform some action autonomously. This can apply to virtually any computer program, but the word bot usually means the action being performed requires some degree of intelligence and that the program has relatively free reign when it comes to its output (e.g. output arbitrary text in the case of a chatbot, make arbitrary physical movement in the case of a physical robot)",Autonomous,Intermediate,Experienced,Intermediate
JSV0XSDZNZ7O029,1-4-2-3,uvic,Female,18-24,Student,3-5 years,Proactive,Reactive,Personable,Personable,,An autonomous system that performs commands given to it,Autonomous,Expert,Experienced,Intermediate
2CM92BWLDM5SCTD,3-2-4-1,uvic,Male,18-24,student,1-3 years,Proactive,Reactive,Personable,Factual,,A continuously running program that reacts to its environment unprompted,Autonomous,Novice,Intermediate,Intermediate
103SURAG9432MEE,1-3-2-4,uvic,Male,18-24,Student,1-3 years,Proactive,Proactive,Personable,Personable,,A program that can do something on its own,Autonomous,Intermediate,Experienced,Intermediate
Z0HVXIVHQV8Q9IW,1-4-2-3,uvic,Male,18-24,Student,>5 years,Reactive,Reactive,Factual,Factual,,Logic that is triggered automatically to perform some action or handle some event.,Smart,Intermediate,Infrequent,Intermediate
TVZL3B1MC1AY5UO,3-2-4-1,uvic,Male,18-24,software engineer (co-ops),<1 year,Reactive,Reactive,Personable,Neutral,,I assume a bot is some sort of automated software feature that people can interact with to better understand the basics of an open-source project,Chat,Intermediate,Infrequent,Intermediate
FSNPPHP72YJM7AX,4-2-3-1,uvic,Male,18-24,Student,1-3 years,Proactive,Proactive,Neutral,Neutral,,An automated program that has set responses,Smart,Intermediate,Intermediate,Intermediate
PZLXI7I31SGPB6I,1-4-2-3,uvic,Male,18-24,NA,<1 year,Reactive,Reactive,Personable,Personable,"Mee6 Discord bot, Nadeko Discord bot, Resident Clock Discord bot, University Engineering Email Verification Discord Bot","A bot is a program that is designed to either interact with a program as a user would, or to interact with users in a more user-friendly way, by emulating more human responses and interactions.",Chat,Novice,Intermediate,Experienced
11X3C40LA16YBOU,4-2-3-1,uvic,Male,18-24,Studunt,1-3 years,Proactive,Reactive,Neutral,Factual,,"An automated system which performs tasks when prompted, either by command or response to an action.",Smart,Intermediate,Intermediate,Intermediate
R8NR3DIRCPB17Z0,4-2-3-1,prolific,Male,18-24,Student,>5 years,Proactive,Proactive,Personable,Factual,,a software that is able to automate certain tasks and interact with users autonomously,Autonomous,Intermediate,Experienced,Intermediate
54L8ER7VWVIDX5O,2-3-1-4,prolific,Non-binary,18-24,fullstack web developer,1-3 years,Reactive,Reactive,Personable,Personable,,"a program that performs a pre-defined set of tasks, e.g. respond to a command with a specific response",Smart,Intermediate,Intermediate,Intermediate
DE0PFB2MNWD308Y,3-1-4-2,prolific,Female,18-24,Student of Informatics and Computer Engineering,1-3 years,Proactive,Proactive,Personable,Personable,,An algorithm.,Unsure,Intermediate,Intermediate,Inexperienced
SADNA1H9P4E88B4,2-4-1-3,prolific,Female,18-24,Student,1-3 years,Reactive,Reactive,Factual,Factual,,"Bot is a software application that runs scripts over the Internet, usually with the intent to emulate human activity on the Internet, such as messaging, on a large scale",Smart,Expert,Experienced,Intermediate
32ZQIFY8N1G2JDA,3-2-4-1,prolific,Male,25-34,web developer,1-3 years,Reactive,Reactive,Personable,Personable,,bot is an algorithm that automate something in our program.,Unsure,Intermediate,Experienced,Inexperienced
7TIIGKCKXL3OZBQ,2-3-1-4,prolific,Female,25-34,software developer,<1 year,Proactive,Proactive,Factual,Factual,,program with automated predetermined tasks,Smart,Expert,Experienced,Intermediate
JPERQAPMXX8QJR9,1-3-2-4,prolific,Male,45-54,Coating Engineer,>5 years,Reactive,Reactive,Personable,Personable,OpenAI,A bot carries out a set of instructions at a time or condition chosen by the programmer.,Smart,Intermediate,Intermediate,Experienced
2LY34VMY60J1KXB,4-2-3-1,prolific,Male,25-34,Software engineer,>5 years,Proactive,Proactive,Personable,Personable,,"A script that runs automatically based on a user action. This action could be opening a pull request, merging a pr, pushing a new commit or many other things. The bot might send an email to potential reviewers, perform a security scan, or many other activities.",Smart,Intermediate,Experienced,Intermediate
C8J2T6Y8C73LX08,1-3-2-4,prolific,Male,35-44,Human Resources Professional,<1 year,Reactive,Neutral,Personable,Personable,,it's an automated tool,Smart,Intermediate,Infrequent,Intermediate
TGAPHMDIH1X08ZU,1-3-2-4,prolific,Male,18-24,Student,1-3 years,Reactive,Reactive,Personable,Personable,,"A bot is a program that communicates with the user. It is not human, it can have commands and provides useful information to the user.",Chat,Intermediate,Infrequent,Intermediate
E0O4HH2B8OOH8TT,4-2-3-1,prolific,Female,25-34,Software Engineer,1-3 years,Reactive,Neutral,Personable,Personable,,A long running program intended for a specific purpose.,DevTool,Intermediate,Intermediate,Inexperienced
CGWTGIVGL5YBUM1,1-3-2-4,prolific,Male,18-24,student,1-3 years,Reactive,Neutral,Neutral,Neutral,,automated computer/program that completes tasks automatically,Smart,Intermediate,Intermediate,Intermediate
G83P0VB75OKOK7L,4-2-3-1,prolific,Female,25-34,Data scientist,1-3 years,Proactive,Proactive,Factual,Factual,,A software that imitates human behavior on the web. ,Chat,Intermediate,Experienced,Intermediate
R3Q5UQM986VM4P3,3-2-4-1,prolific,Male,35-44,test automation specialist,>5 years,Proactive,Neutral,Personable,Factual,dependabot,a bot automates tasks you could perform manually. Usually boring tasks,Smart,Expert,Experienced,Experienced
PL2COHD9Z5EFXMI,2-3-1-4,prolific,Female,25-34,programmer,3-5 years,Proactive,Proactive,Personable,Personable,,a program that automatically performs simple actions that also could be done by humans,Smart,Intermediate,Experienced,Intermediate
9UVLOI2PIB0KCZT,4-2-3-1,prolific,Male,25-34,Software Engineer,1-3 years,Reactive,Reactive,Factual,Factual,dependabot,A piece of software that automatically handles certain actions e.g. updating critical dependencies,Smart,Intermediate,Intermediate,Experienced
0JT14WJ9CM37ZJS,4-1-3-2,prolific,Male,25-34,"Unemployed, occasional freelancing",>5 years,Reactive,Reactive,Factual,Factual,Probot,A set of tools scripted to automate/improve/optimize a workflow,Smart,Intermediate,Intermediate,Experienced
PCCASPJGG26IQUL,4-2-3-1,prolific,Male,35-44,Web developer,>5 years,Reactive,Reactive,Personable,Personable,,"Bot is a automated software that provides some interaction with the user, it can be as simple as a software that answer most common questions, or something more complex",Smart,Expert,Intermediate,Intermediate
3JR0DONEQH4KZJ7,3-1-4-2,prolific,Female,18-24,Frontend Developer,<1 year,Reactive,Reactive,Personable,Factual,,Is a software programmed to do certain actions,Smart,Intermediate,Intermediate,Intermediate
WXCQZBDPXYKPDIG,1-3-2-4,prolific,Female,25-34,CS student,<1 year,Reactive,Reactive,Personable,Personable,,automated autonomous program that interacts with users,Chat,Intermediate,Intermediate,Intermediate
5RM1148TZLWD3KV,2-3-1-4,prolific,Male,25-34,Restaurant manager,>5 years,Neutral,Neutral,Personable,Personable,,a bot is a program that uses the same channels as users to interact with other users,Chat,Intermediate,Intermediate,Intermediate
