ref_id,user_login_date,user_scenario_combination,user_source,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q14,q15,q16,q17,sc1_answer,sc2_answer,sc3_answer,sc4_answer,survey_completion_date,residence_country,sex
UOJCIKUO7ZFG9G8,2022-02-23T23:29:48.029Z,3-1-4-2,prolific,1,4,2-5-6,3,3,1,1,2,3,2,3,2,3,DevOps Analyst,2,2,2,3,1,2022-02-23T23:51:46.209Z,Canada,Female
VHFXHFX33KOU7X5,2022-02-23T23:30:27.791Z,2-3-1-4,prolific,1,4,2-5-6,3,3,1,1,2,3,2,3,2,2,Student,4,1,3,3,1,2022-02-23T23:42:09.316Z,Canada,Female
38AZCE7ILV89047,2022-02-23T23:35:11.512Z,2-3-1-4,prolific,1,4,2-5-6,3,3,1,1,2,1,2,3,1,3,Data Scientist,3,3,1,2,1,2022-02-23T23:41:52.223Z,Canada,Male
3NNKDGBWGJAOYAL,2022-02-23T23:42:20.983Z,3-2-4-1,prolific,1,4,2-5-6,3,3,1,2,2,6,2,3,2,3,Software Developer,1,3,1,1,3,2022-02-23T23:48:59.338Z,Canada,Female
0QPKOTN9NHERUWW,2022-02-23T23:44:51.956Z,2-4-1-3,prolific,1,4,2-5-6,3,3,1,1,1,4,2,3,1,3,Lead Developer,3,1,1,3,1,2022-02-23T23:52:03.304Z,Canada,Male
XMN5NZT4TB8SMOK,2022-02-23T23:49:44.391Z,2-4-1-3,prolific,1,4,2-5-6,3,3,1,1,1,5,2,3,2,3,Document and media preparation,3,3,1,3,3,2022-02-24T00:10:23.672Z,Canada,Female
377B1RN3M0PA797,2022-02-23T23:53:32.140Z,1-3-2-4,prolific,1,4,2-5-6,3,3,1,1,1,3,2,3,1,2,Student,2,1,1,3,1,2022-02-23T23:59:25.929Z,United States,Male
LUCA8LHBU8UOLSW,2022-02-23T23:55:12.794Z,1-3-2-4,prolific,1,4,2-5-6,3,3,1,1,1,3,2,3,1,3,Software Developer,3,1,3,3,1,2022-02-24T00:00:48.877Z,Canada,Male
HYPD1D882CSGJ5W,2022-02-24T00:03:04.137Z,2-3-1-4,prolific,1,4,2-5-6,3,3,1,2,2,2,2,3,2,3,research associate,2,1,1,3,1,2022-02-24T00:16:14.148Z,Canada,Female
NVDNCD4HG98UBPR,2022-03-10T18:04:08.023Z,2-4-1-3,,1,4,2-5-6,3,3,1,2,2,2,2,3,1,3,Student,3,1,3,1,2,2022-03-10T18:16:37.970Z,,
N1XPDEDVYC8IHHT,2022-03-10T18:04:08.721Z,4-2-3-1,,1,4,2-5-6,1,3,1,1,2,2,2,3,2,2,University Student,2,2,2,3,3,2022-03-10T18:12:33.741Z,,
17MCCLM7D89ZKA9,2022-03-10T18:04:10.780Z,2-3-1-4,,1,4,2-5-6,1,3,1,1,2,4,2,3,1,2,student,1,3,3,1,3,2022-03-10T18:19:18.064Z,,
8P6MSTN79MU80D2,2022-03-10T18:04:13.623Z,3-1-4-2,,1,4,2-5-6,1,3,1,2,2,4,2,3,2,2,student,2,2,2,3,2,2022-03-10T18:15:27.196Z,,
BBZB1AOF8H0JMCR,2022-03-10T18:04:14.079Z,2-4-1-3,,1,2,2-5-6,3,3,1,1,1,2,2,3,1,2,Student (Software Engineering),2,3,1,3,1,2022-03-10T18:17:28.934Z,,
ZZMAP7P2DCR4F85,2022-03-10T18:04:14.265Z,1-3-2-4,,1,4,2-5-6,3,3,1,2,2,2,2,1,2,2,Full time student,2,3,1,3,1,2022-03-10T18:15:58.826Z,,
KCOPIQRHO12Q3YH,2022-03-10T18:04:16.858Z,3-1-4-2,,1,4,2-5-6,3,3,1,1,2,4,4,3,2,2,Full Time Student,2,3,1,1,1,2022-03-10T18:29:11.836Z,,
YFYYJSR0VTCIMFX,2022-03-10T18:04:18.567Z,4-2-3-1,,1,4,2-5-6,3,3,1,2,1,5,2,3,3,2,Cook (Student),3,3,1,3,1,2022-03-10T18:17:01.314Z,,
A15S72U3AG9AV4P,2022-03-10T18:04:18.640Z,2-3-1-4,,1,4,2-5-6,3,3,1,2,2,3,2,3,5,2,None (Student),1,3,3,3,3,2022-03-10T18:20:37.895Z,,
W8IPKJF4B7SI0S1,2022-03-10T18:04:20.763Z,2-4-1-3,,1,4,2-5-6,1,3,1,1,2,4,4,1,1,2,Software Engineering Student,2,2,2,3,3,2022-03-10T18:15:12.511Z,,
4YPHZV41170X904,2022-03-10T18:04:20.978Z,3-2-4-1,,1,4,2-5-6,1,3,1,1,2,3,2,3,1,2,BSeng student,2,3,3,3,3,2022-03-10T18:17:57.497Z,,
POKHG7NJWVGB5M2,2022-03-10T18:04:22.170Z,3-1-4-2,,1,4,2-5-6,3,3,1,2,2,2,2,3,1,2,Software Engineering,1,1,3,3,1,2022-03-10T18:13:57.557Z,,
MYP4S8YBN8BWG4B,2022-03-10T18:04:24.638Z,3-1-4-2,,1,4,2-5-6,3,3,1,2,2,2,2,1,1,2,Student,4,3,1,1,3,2022-03-10T18:17:24.378Z,,
D8MKPN81L7GUEDY,2022-03-10T18:04:24.994Z,1-4-2-3,,1,2,2-5-6,3,3,1,1,1,4,2,3,2,2,Software Engineering Student,2,3,1,1,3,2022-03-10T18:21:18.965Z,,
IUQM795SUUAL377,2022-03-10T18:04:32.603Z,1-3-2-4,,1,4,2-5-6,3,3,1,2,2,3,2,3,1,2,Software Developer,2,3,1,3,3,2022-03-10T18:13:47.098Z,,
UIJFE7OGUATYRZD,2022-03-10T18:04:33.559Z,3-1-4-2,,1,4,2-5-6,3,3,1,2,2,2,2,3,1,2,University Student,2,3,1,3,1,2022-03-10T18:16:08.644Z,,
62S9Y38F8OCGTBS,2022-03-10T18:04:37.760Z,4-2-3-1,,1,4,2-5-6,3,3,1,2,2,3,1,3,1,2,Student,2,2,2,3,3,2022-03-10T18:15:38.803Z,,
M84E1R91PUDLI7D,2022-03-10T18:04:39.587Z,3-1-4-2,,1,4,2-5-6,3,3,1,1,2,2,2,3,1,2,Student,4,3,1,1,3,2022-03-10T18:18:44.400Z,,
JSV0XSDZNZ7O029,2022-03-10T18:04:51.699Z,1-4-2-3,,1,2,2-5-6,1,3,1,1,1,2,2,3,2,2,Student,3,1,1,3,1,2022-03-10T18:18:10.929Z,,
2CM92BWLDM5SCTD,2022-03-10T18:04:59.954Z,3-2-4-1,,1,4,2-5-6,3,3,1,2,2,4,2,2,1,2,student,2,1,1,3,3,2022-03-10T18:14:08.858Z,,
103SURAG9432MEE,2022-03-10T18:05:03.060Z,1-3-2-4,,1,2,2-5-6,3,3,1,2,2,2,2,3,1,2,Student,2,1,3,3,1,2022-03-10T18:13:02.101Z,,
Z0HVXIVHQV8Q9IW,2022-03-10T18:05:05.499Z,1-4-2-3,,1,4,2-5-6,3,3,1,2,2,6,2,3,1,2,Student,4,3,1,1,3,2022-03-10T18:20:45.669Z,,
TVZL3B1MC1AY5UO,2022-03-10T18:05:31.935Z,3-2-4-1,,1,4,2-5-6,3,3,1,2,2,6,2,3,1,2,software engineer (co-ops),1,3,1,3,2,2022-03-10T18:20:35.159Z,,
FSNPPHP72YJM7AX,2022-03-10T18:06:57.451Z,4-2-3-1,,1,4,2-5-6,3,3,1,1,2,3,2,1,1,2,Student,2,1,3,2,2,2022-03-10T18:16:32.454Z,,
PZLXI7I31SGPB6I,2022-03-10T18:07:45.083Z,1-4-2-3,,1,4,2-5-6,3,3,1,2,2,4,2,1,1,2,,1,3,1,3,1,2022-03-10T18:20:46.490Z,,
11X3C40LA16YBOU,2022-03-10T18:12:21.854Z,4-2-3-1,,1,4,2-5-6,1,3,1,2,2,4,2,3,1,2,Studunt,2,1,1,2,3,2022-03-10T18:25:44.227Z,,
R8NR3DIRCPB17Z0,2022-03-15T16:10:24.829Z,4-2-3-1,prolific,1,4,2-5-6,1,3,1,1,2,1,2,3,1,2,Student,4,1,3,3,3,2022-03-15T16:16:06.827Z,Italy,Male
54L8ER7VWVIDX5O,2022-03-15T16:11:15.986Z,2-3-1-4,prolific,1,4,2-5-6,3,3,1,1,2,3,2,3,3,2,fullstack web developer,2,3,1,3,1,2022-03-15T16:26:03.920Z,Germany,Female
DE0PFB2MNWD308Y,2022-03-15T16:11:16.972Z,3-1-4-2,prolific,1,4,2-5-6,3,3,1,2,2,5,2,3,2,2,Student of Informatics and Computer Engineering,2,1,3,3,1,2022-03-15T16:21:31.211Z,Greece,Female
SADNA1H9P4E88B4,2022-03-15T16:13:33.917Z,2-4-1-3,prolific,1,4,2-5-6,3,3,1,1,1,1,2,3,2,2,Student,2,3,1,1,3,2022-03-15T16:21:10.465Z,Poland,Female
32ZQIFY8N1G2JDA,2022-03-29T01:29:36.466Z,3-2-4-1,prolific,1,4,2-5-6,1,3,1,1,2,1,2,3,1,3,web developer,2,3,1,3,1,2022-03-29T01:39:29.746Z,Canada,Male
7TIIGKCKXL3OZBQ,2022-03-29T01:59:25.423Z,2-3-1-4,prolific,1,4,2-5-6,1,3,1,1,1,1,2,3,2,3,software developer,1,1,3,1,3,2022-03-29T02:15:41.391Z,United States,Female
JPERQAPMXX8QJR9,2022-03-29T02:03:36.284Z,1-3-2-4,prolific,1,4,2-5-6,3,3,1,2,2,4,2,3,1,5,Coating Engineer,4,3,1,3,1,2022-03-29T02:18:17.787Z,United States,Male
2LY34VMY60J1KXB,2022-03-29T02:15:08.140Z,4-2-3-1,prolific,1,4,2-5-6,1,3,1,2,2,1,2,3,1,3,Software engineer,4,1,3,3,1,2022-03-29T02:22:25.118Z,United States,Male
C8J2T6Y8C73LX08,2022-03-29T02:18:20.271Z,1-3-2-4,prolific,1,4,2-5-6,3,3,1,1,2,6,2,3,1,4,Human Resources Professional,1,3,2,3,1,2022-03-29T02:22:02.600Z,Canada,Male
TGAPHMDIH1X08ZU,2022-03-29T02:27:14.792Z,1-3-2-4,prolific,1,4,2-5-6,1,3,1,2,2,6,2,3,1,2,Student,2,3,1,3,1,2022-03-29T02:35:41.994Z,Canada,Male
E0O4HH2B8OOH8TT,2022-03-29T02:29:05.645Z,4-2-3-1,prolific,1,4,2-5-6,1,3,1,2,2,3,2,3,2,3,Software Engineer,2,3,2,3,1,2022-03-29T02:38:42.178Z,Canada,Female
CGWTGIVGL5YBUM1,2022-03-29T02:29:16.248Z,1-3-2-4,prolific,1,4,2-5-6,1,3,1,1,2,5,2,3,1,2,student,2,3,2,2,2,2022-03-29T02:33:22.762Z,Canada,Male
G83P0VB75OKOK7L,2022-03-29T03:13:18.456Z,4-2-3-1,prolific,1,4,2-5-6,1,3,1,2,2,2,2,3,2,3,Data scientist,2,1,3,1,3,2022-03-29T03:20:39.560Z,United States,Female
R3Q5UQM986VM4P3,2022-04-04T15:02:18.309Z,3-2-4-1,prolific,1,4,2-5-6,1,3,1,1,1,1,2,3,1,4,test automation specialist,4,1,2,3,3,2022-04-04T15:20:12.411Z,Netherlands,Male
PL2COHD9Z5EFXMI,2022-04-04T15:02:56.731Z,2-3-1-4,prolific,1,4,2-5-6,3,3,1,2,2,1,2,3,2,3,programmer,3,1,3,3,1,2022-04-04T15:16:58.372Z,Poland,Female
9UVLOI2PIB0KCZT,2022-04-04T15:03:49.405Z,4-2-3-1,prolific,1,4,2-5-6,1,3,1,2,2,3,2,3,1,3,Software Engineer,2,3,1,1,3,2022-04-04T15:10:37.000Z,Poland,Male
0JT14WJ9CM37ZJS,2022-04-04T15:05:38.158Z,4-1-3-2,prolific,1,4,2-5-6,3,3,1,2,2,3,2,3,1,3,"Unemployed, occasional freelancing",4,3,1,1,3,2022-04-04T15:26:04.679Z,Italy,Male
PCCASPJGG26IQUL,2022-04-04T15:07:03.287Z,4-2-3-1,prolific,1,4,2-5-6,3,3,1,1,1,4,2,3,1,4,Web developer,4,3,1,3,1,2022-04-04T15:17:11.047Z,Portugal,Male
3JR0DONEQH4KZJ7,2022-04-04T15:09:08.156Z,3-1-4-2,prolific,1,4,2-5-6,3,3,1,1,2,3,2,3,2,2,Frontend Developer,1,3,1,3,3,2022-04-04T15:21:17.179Z,Portugal,Female
WXCQZBDPXYKPDIG,2022-04-04T15:11:15.555Z,1-3-2-4,prolific,1,4,2-5-6,3,3,1,2,2,3,2,3,2,3,CS student,1,3,1,3,1,2022-04-04T15:21:11.714Z,Italy,Female
5RM1148TZLWD3KV,2022-04-04T15:15:06.071Z,2-3-1-4,prolific,1,4,2-5-6,3,3,1,1,2,4,2,3,1,3,Restaurant manager,4,2,2,3,1,2022-04-04T15:24:50.157Z,Italy,Male
